

1559487355.637632100  Node Startup
1559487359.317593200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.317649600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.317669600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487359.350892900 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.350954200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.350966700 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487359.384165500 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.384242200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.384257400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487359.417520300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.417587600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.417600400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487359.450803200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.450820000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.450826800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487359.484177600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.484200400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.484211500 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487359.518632600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487359.518684600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487359.518703600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
